name;score;url;Background;Body;Clothes;Eyes;Head;Mouth;Nose
PsychoMolly #1168;0.0;https://crypto.com/nft/marketplace?asset=477f350b2e7d05eddcc9ca4bdf25e539;Dots;Make-Up;Skeleton Shirt;Sugar Skull Eyes;Egyptian Crown;Geisha Lips;Diamond Nose
PsychoMolly #6001;4.181822650286103e-06;https://crypto.com/nft/marketplace?asset=93867298ecaafe6b84cb042e0ce0dd78;Hearts;Black Moon;Sun Flower Dress;Purple Shadow;Bunny Ears;Big Gold Fish;Diamond Nose
PsychoMolly #4821;4.203491582815962e-06;https://crypto.com/nft/marketplace?asset=54f7378e9bfd85f942e885759cd26f0b;Diamonds;Purple-ish;CDC Blue Suit;9 Ball;Red Hair;Cig;Gold Stud
PsychoMolly #685;5.923169060834977e-06;https://crypto.com/nft/marketplace?asset=8b9f4d35d0ba87af426f989c5ae4a929;Dots;White Stripes;Egyptian Queen;Geisha Eyes;Spinner;Smile;Diamond Nose
PsychoMolly #2533;8.556590193461335e-06;https://crypto.com/nft/marketplace?asset=a8f76f9e00aeb1036dae3712faddc4c5;Dots;Zombie;Burger Queen;Loca;Kitty;Tic Toc;Heart Nose
PsychoMolly #5097;9.242715708396342e-06;https://crypto.com/nft/marketplace?asset=3938e953e34d638d8ffe0b7858afe8c6;Dots;Diva;Skeleton Shirt;Cucumbers;Sombrero;Diamond Kiss;Diamond Nose
PsychoMolly #1557;9.394699168905472e-06;https://crypto.com/nft/marketplace?asset=bd0309e445842aa11b712f58b94cd632;Hot Pink;Black Moon;Gold Angel;Purple Shadow;Bunny Ears;Tic Toc;Sugar Skull Nose
PsychoMolly #8462;1.3774597267014721e-05;https://crypto.com/nft/marketplace?asset=8999afbb1c6f906324d7b8521d86fb43;Sun Down;White Stripes;Gold Pacifier;9 Ball;CDC Red Hair;Diamond Kiss;Sugar Skull Nose
PsychoMolly #4118;1.4463829679612823e-05;https://crypto.com/nft/marketplace?asset=407db4cf1fb190287171f576d68c6120;Diamonds;Tanned;Soldier;ETH Eyes;Soldier Hat;Ice Cream;Sugar Skull Nose
PsychoMolly #9497;1.5412321828042423e-05;https://crypto.com/nft/marketplace?asset=55cd200b952ac0d482ee5d7c7c934cf2;Hot Pink;Zombie;Angel;K-Trix Shades;Headphones;Pink Slime;Heart Nose
PsychoMolly #8421;1.559194405789342e-05;https://crypto.com/nft/marketplace?asset=8bb3c5ca5676232b64d35e1ff7dd9325;Diamonds;Diva;Pajama;Red Eyes;Flight Attendant;Big Gold Fish;Button Nose
PsychoMolly #5232;1.9021842664124825e-05;https://crypto.com/nft/marketplace?asset=d6de51869da3a4cd83757456bc1aa608;Sun Down;Mint Swirl;Leather;Cucumbers;Burger Queen;Tic Toc;Diamond Nose
PsychoMolly #7878;2.0811175337646594e-05;https://crypto.com/nft/marketplace?asset=c6d5931c763118583d68d8eaba561971;Diamonds;Polka Dots;Pajama;Geisha Eyes;Kitty;Ice Cream;Diamond Nose
PsychoMolly #933;2.421844083327603e-05;https://crypto.com/nft/marketplace?asset=8f2b8917aaa512d5e4d027ff38ea4c7c;Hearts;Diva;Angel;Sugar Skull Eyes;Halo;Cig;Teal Nose
PsychoMolly #6733;2.5507464941447587e-05;https://crypto.com/nft/marketplace?asset=7bde6cfb65cdfdb38ba9084ef0a5d6e7;Diamonds;Polka Dots;Hoody;9 Ball;Sombrero;Diamond Kiss;Clown Nose
PsychoMolly #767;2.819059115505665e-05;https://crypto.com/nft/marketplace?asset=7d07df2d3ef138d057e21f5bbfa78a8f;Hot Pink;Tanned;CDC Blue Suit;Diamond Eyes;Gray Hair;Gold Teeth;Gold Stud
PsychoMolly #8286;3.452752706684537e-05;https://crypto.com/nft/marketplace?asset=e621daadc0312e948f7996f79c28150c;Sun Down;White Stripes;Hoody;Sugar Skull Eyes;Halo;Gold Teeth;Teal Nose
PsychoMolly #6160;3.5187495932273974e-05;https://crypto.com/nft/marketplace?asset=0f061df4e4aafa3f7aa2db5a65917cf0;Diamonds;Mint Swirl;Bunny Dress;Triclops;Hawaiian;Pink Yarn;Heart Nose
PsychoMolly #4631;3.605717203435693e-05;https://crypto.com/nft/marketplace?asset=90b563f46ca4c01819114bdaa180226e;Diamonds;Black Moon;Pajama;Sugar Skull Eyes;Red Hair;Pink Yarn;Clown Nose
PsychoMolly #5484;3.874063654333012e-05;https://crypto.com/nft/marketplace?asset=ffa3f078a8a0370325e0377d318a1fdb;Hearts;Black Moon;Coconut;Loca;Gata;Tic Toc;Teal Nose
PsychoMolly #3164;3.923204406875343e-05;https://crypto.com/nft/marketplace?asset=13851f0394813e7ae7729eb98e207b1b;Dots;Diva;Skeleton Shirt;ETH Eyes;Kitty;Muahh;Gold Stud
PsychoMolly #7663;3.983387922302983e-05;https://crypto.com/nft/marketplace?asset=3047dff473f11bd8ddd8875eb9ecd911;Hot Pink;Black Moon;Bad Girl;Red Eyes;Purple Hair;Big Gold Fish;Button Nose
PsychoMolly #9526;4.1227307313470736e-05;https://crypto.com/nft/marketplace?asset=12559a5251628bd9c9ca58db07cb144b;Hot Pink;Polka Dots;Gold Angel;Red Eyes;Geisha Hair;Pink Yarn;Nose Ring
PsychoMolly #230;4.255906047486229e-05;https://crypto.com/nft/marketplace?asset=ff88663bcda1d726c00b563d1c476ab9;Diamonds;Cream;Soldier;Geisha Eyes;Bunny Ears;Tic Toc;Teal Nose
PsychoMolly #5147;4.7473130136675136e-05;https://crypto.com/nft/marketplace?asset=fe9d6b0bf89bf5242b826da06d146fe8;Dots;Black Moon;Burger Queen;Red Eyes;Gata;Picante;Teal Nose
PsychoMolly #4160;5.421933984486558e-05;https://crypto.com/nft/marketplace?asset=47dd4e72d9076f7909a3d4ab82a743da;Diamonds;White;Leather;Blue Shadow;Mars;Picante;Clown Nose
PsychoMolly #6413;5.544798314050349e-05;https://crypto.com/nft/marketplace?asset=2f98ae4521a1357a23ab704224a8c836;Dots;Polka Dots;Bomber Jacket;ETH Eyes;Geisha Hair;Gold Teeth;Clown Nose
PsychoMolly #2736;5.561958338612486e-05;https://crypto.com/nft/marketplace?asset=81556301e4c0c3ab11c907e4e4adbca4;Dots;Pink Stripes;Geisha;K-Trix Shades;Unicorn;Cig;Button Nose
PsychoMolly #2947;5.8998206135083124e-05;https://crypto.com/nft/marketplace?asset=7b6445114ceed154d2301cb14c4aadc9;Hearts;Glitter;Gold Angel;Purple Shadow;Spinner;Tic Toc;Button Nose
PsychoMolly #7276;6.110879060123151e-05;https://crypto.com/nft/marketplace?asset=4e0f2faabc26684c7f0c7cbf631964fc;Sun Down;White;Gold Angel;ETH Eyes;Flight Attendant;Pink Slime;Teal Nose
PsychoMolly #4661;6.604844538409122e-05;https://crypto.com/nft/marketplace?asset=87077b2a4ffdc54f68a662554e9b9cab;Hot Pink;Black Moon;Burger Queen;Loca;Spinner;Ice Cream;Nose Ring
PsychoMolly #8387;6.74636180447053e-05;https://crypto.com/nft/marketplace?asset=390da455ee4ebe6130e892dbf6587b7a;Dots;Mint Swirl;Soldier;9 Ball;CDC Red Hair;Pink Yarn;Teal Nose
PsychoMolly #8412;6.790249878526469e-05;https://crypto.com/nft/marketplace?asset=881c324366c099eca3f81c432569b0c5;Hot Pink;Cream;Coconut;Loca;Purple Hair;Geisha Lips;Diamond Nose
PsychoMolly #417;6.806109157220179e-05;https://crypto.com/nft/marketplace?asset=b01f97eb5d31b3c697867bc94c9d7006;Dots;Glitter;Flight Attendant;ETH Eyes;Burger Queen;Smile;Teal Nose
PsychoMolly #9159;7.21323744992279e-05;https://crypto.com/nft/marketplace?asset=c76e374813945e1746f5a14a8feb7e82;Diamonds;Tanned;Pajama;Sugar Skull Eyes;Gata;Lick;Button Nose
PsychoMolly #1695;7.223083148910826e-05;https://crypto.com/nft/marketplace?asset=970496c1016a702edc35268899cd42b2;Sun Down;Mint Swirl;Bomber Jacket;Loca;Blonde Hair;Bitcoin Tab;Nose Ring
PsychoMolly #9942;7.419156269608616e-05;https://crypto.com/nft/marketplace?asset=dcef553cb0617a4aee544926183f8cb2;Diamonds;White;Sun Flower Dress;Red Eyes;Purple Hair;Tic Toc;Clown Nose
PsychoMolly #2542;7.654902868827563e-05;https://crypto.com/nft/marketplace?asset=6d1012ce66ae7e98d0d7e9b8e6da5315;Sun Down;Tanned;Pink Space Suit;Shades;Unicorn;Gold Teeth;Heart Nose
PsychoMolly #5781;8.203227285814708e-05;https://crypto.com/nft/marketplace?asset=814a62fc7adf045808b98cfcf7a8b595;Diamonds;Diva;Bomber Jacket;9 Ball;Sugar Skull Rose;Geisha Lips;Teal Nose
PsychoMolly #4393;8.26128343921578e-05;https://crypto.com/nft/marketplace?asset=939eae1d595b9d1062b338a2f8bf34c2;Sun Down;Make-Up;White Dress;Loca;Geisha Hair;Ice Cream;Gold Stud
PsychoMolly #5817;8.493831862131093e-05;https://crypto.com/nft/marketplace?asset=a658839cf0525de5dd44032752392f1d;Hearts;Polka Dots;CDC Blue Suit;K-Trix Shades;CDC Red Hair;Pink Slime;Nose Ring
PsychoMolly #4779;0.00010347521144149998;https://crypto.com/nft/marketplace?asset=52ed2818a0db34308d6b96d0e4079b5e;Hot Pink;Zombie;Sun Flower Dress;Shades;Sugar Skull Rose;Gold Teeth;Heart Nose
PsychoMolly #4050;0.00010452123471616013;https://crypto.com/nft/marketplace?asset=821d75e56227cfed7be97d8de9a873a3;Hot Pink;White;Angel;Bitcoin Eyes;Red Hair;Ice Cream;Gold Stud
PsychoMolly #7558;0.00010615022835082834;https://crypto.com/nft/marketplace?asset=46da2f9af4ff85f6d63bc8e0287da669;Hot Pink;Glitter;Geisha;Cyborg;Sombrero;Muahh;Nose Ring
PsychoMolly #2681;0.00010819321218734846;https://crypto.com/nft/marketplace?asset=17d31b66e801b4924cfc3c02d207a453;Hearts;White;Hoody;Geisha Eyes;Unicorn;Lick;Diamond Nose
PsychoMolly #916;0.00010853566032213119;https://crypto.com/nft/marketplace?asset=e867fc0960a8ec91be14f288a909115a;Diamonds;Pink Stripes;Coconut;Cucumbers;Blonde Hair;Big Gold Fish;Sugar Skull Nose
PsychoMolly #3098;0.00011204550240302734;https://crypto.com/nft/marketplace?asset=37f3634d1499cdd003c03ae711b41eb9;Diamonds;Pink Stripes;Pajama;K-Trix Shades;Flight Attendant;Geisha Lips;Sugar Skull Nose
PsychoMolly #627;0.00011344285300901687;https://crypto.com/nft/marketplace?asset=24942cea2bd4fa936bd5b9207d5c28ae;Hearts;White;Super Bit;K-Trix Shades;Spinner;Bitcoin Tab;Teal Nose
